scale500,scale500labels,scale250,scale250labels,scale125,scale125labels,scale60,scale60labels,scale33,scale33labels
358,lateraloccipital_7,,,,,,,,
359,lateraloccipital_3,,,,,,,,
360,lateraloccipital_17,,,,,,,,
361,lateraloccipital_14,,,,,,,,
362,lateraloccipital_21,,,,,,,,
363,lateraloccipital_10,,,,,,,,
364,lateraloccipital_8,,,,,,,,
365,lateraloccipital_4,,,,,,,,
366,lateraloccipital_19,,,,,,,,
367,lateraloccipital_6,,,,,,,,
368,lateraloccipital_2,,,,,,,,
369,lateraloccipital_5,,,,,,,,
370,lateraloccipital_22,,,,,,,,
371,lateraloccipital_11,,,,,,,,
372,lingual_16,,,,,,,,
373,lingual_8,,,,,,,,
374,lingual_14,,,,,,,,
375,lingual_4,,,,,,,,
376,lingual_10,,,,,,,,
377,lingual_13,,,,,,,,
378,lingual_11,,,,,,,,
379,lingual_9,,,,,,,,
380,lingual_12,,,,,,,,
381,lingual_3,,,,,,,,
382,lingual_2,,,,,,,,
383,lingual_7,,,,,,,,
384,lingual_1,,,,,,,,
385,lingual_6,,,,,,,,
386,lingual_15,,,,,,,,
387,lingual_17,,,,,,,,
388,lingual_5,,,,,,,,
389,fusiform_9,,,,,,,,
390,fusiform_2,,,,,,,,
391,fusiform_5,,,,,,,,
392,fusiform_12,,,,,,,,
393,fusiform_14,,,,,,,,
394,fusiform_8,,,,,,,,
395,fusiform_6,,,,,,,,
396,fusiform_17,,,,,,,,
397,fusiform_15,,,,,,,,
398,fusiform_11,,,,,,,,
399,fusiform_13,,,,,,,,
400,fusiform_7,,,,,,,,
401,fusiform_4,,,,,,,,
402,fusiform_3,,,,,,,,
403,fusiform_1,,,,,,,,
404,fusiform_10,,,,,,,,
405,fusiform_16,,,,,,,,
406,parahippocampal_3,,,,,,,,
407,parahippocampal_2,,,,,,,,
408,parahippocampal_1,,,,,,,,
409,parahippocampal_6,,,,,,,,
410,parahippocampal_5,,,,,,,,
411,parahippocampal_4,,,,,,,,
412,entorhinal_1,,,,,,,,
413,entorhinal_2,,,,,,,,
414,temporalpole_1,,,,,,,,
415,temporalpole_2,,,,,,,,
416,temporalpole_3,,,,,,,,
417,inferiortemporal_16,,,,,,,,
418,inferiortemporal_3,,,,,,,,
419,inferiortemporal_5,,,,,,,,
420,inferiortemporal_9,,,,,,,,
421,inferiortemporal_11,,,,,,,,
422,inferiortemporal_8,,,,,,,,
423,inferiortemporal_1,,,,,,,,
424,inferiortemporal_4,,,,,,,,
425,inferiortemporal_7,,,,,,,,
426,inferiortemporal_2,,,,,,,,
427,inferiortemporal_6,,,,,,,,
428,inferiortemporal_10,,,,,,,,
429,inferiortemporal_12,,,,,,,,
430,inferiortemporal_15,,,,,,,,
431,inferiortemporal_14,,,,,,,,
432,inferiortemporal_13,,,,,,,,
433,middletemporal_12,,,,,,,,
434,middletemporal_16,,,,,,,,
435,middletemporal_13,,,,,,,,
436,middletemporal_15,,,,,,,,
437,middletemporal_6,,,,,,,,
438,middletemporal_11,,,,,,,,
439,middletemporal_10,,,,,,,,
440,middletemporal_4,,,,,,,,
441,middletemporal_14,,,,,,,,
442,middletemporal_7,,,,,,,,
443,middletemporal_17,,,,,,,,
444,middletemporal_8,,,,,,,,
445,middletemporal_9,,,,,,,,
446,middletemporal_1,,,,,,,,
447,middletemporal_3,,,,,,,,
448,middletemporal_5,,,,,,,,
449,middletemporal_19,,,,,,,,
450,middletemporal_2,,,,,,,,
451,middletemporal_18,,,,,,,,
452,bankssts_3,,,,,,,,
453,bankssts_6,,,,,,,,
454,bankssts_2,,,,,,,,
455,bankssts_1,,,,,,,,
456,bankssts_4,,,,,,,,
457,bankssts_5,,,,,,,,
458,superiortemporal_9,,,,,,,,
459,superiortemporal_25,,,,,,,,
460,superiortemporal_14,,,,,,,,
461,superiortemporal_6,,,,,,,,
462,superiortemporal_7,,,,,,,,
463,superiortemporal_16,,,,,,,,
464,superiortemporal_19,,,,,,,,
465,superiortemporal_15,,,,,,,,
466,superiortemporal_12,,,,,,,,
467,superiortemporal_21,,,,,,,,
468,superiortemporal_24,,,,,,,,
469,superiortemporal_2,,,,,,,,
470,superiortemporal_22,,,,,,,,
471,superiortemporal_13,,,,,,,,
472,superiortemporal_5,,,,,,,,
473,superiortemporal_11,,,,,,,,
474,superiortemporal_3,,,,,,,,
475,superiortemporal_17,,,,,,,,
476,superiortemporal_18,,,,,,,,
477,superiortemporal_8,,,,,,,,
478,superiortemporal_4,,,,,,,,
479,superiortemporal_23,,,,,,,,
480,superiortemporal_20,,,,,,,,
481,superiortemporal_10,,,,,,,,
482,superiortemporal_1,,,,,,,,
483,transversetemporal_1,,,,,,,,
484,transversetemporal_2,,,,,,,,
485,transversetemporal_3,,,,,,,,
486,insula_16,,,,,,,,
487,insula_13,,,,,,,,
488,insula_6,,,,,,,,
489,insula_4,,,,,,,,
490,insula_5,,,,,,,,
491,insula_15,,,,,,,,
492,insula_8,,,,,,,,
493,insula_11,,,,,,,,
494,insula_10,,,,,,,,
495,insula_1,,,,,,,,
496,insula_7,,,,,,,,
497,insula_14,,,,,,,,
498,insula_3,,,,,,,,
499,insula_2,,,,,,,,
500,insula_12,,,,,,,,
501,insula_9,,,,,,,,
502,thalamusproper,,,,,,,,
503,caudate,,,,,,,,
504,putamen,,,,,,,,
505,pallidum,,,,,,,,
506,accumbensarea,,,,,,,,
507,hyppocampus,,,,,,,,
508,amygdala,,,,,,,,
